"INFORMATION TYPE","DATE","MARKET PARTICIPANT","FACILITY NAME","FACILITY REGISTRATION STATUS","COMMISSIONING GENERATION FACILITY","FACILITY GENERATION TYPE","EMBEDDED STATUS","MAX GENERATION CAPACITY (MW)","MIN STABLE LOAD (MW)","MAX LOAD CURTAILMENT CAPACITY (MW)","MAX REGULATION CAPACITY (MW)","MAX PRIMARY RESERVE CAPACITY (MW)","MAX SECONDARY RESERVE CAPACITY (MW)","MAX CONTINGENCY RESERVE CAPACITY (MW)","FREQUENCY RESPONSIVE STATUS","LAST CHANGE DATE"
"RC","25-Apr-2024","JUST ELECTRIC PTE LTD","IL_TJK : MELTSHOP : DR NATS1","-","-","-","-","-","-","48.000","-","-","-","-","-","23-May-2023"
"RC","25-Apr-2024","KEPPEL ELECTRIC PTE LTD","IMPORT : KEPPEL : LTMS1","GRF","-","IMPORT","N","100.000","30.000","-","-","-","-","-","NFR","13-Jun-2022"
"RC","25-Apr-2024","KEPPEL ELECTRIC PTE LTD","IL_KDHCS : BIOWAY : CHLL_P03","-","-","-","-","-","-","0.000","-","-","-","1.000","-","19-Oct-2021"
"RC","25-Apr-2024","KEPPEL ELECTRIC PTE LTD","IL_KDHCS : CHNGBPC2 : CHLL_P01","-","-","-","-","-","-","0.000","-","-","-","1.000","-","19-Oct-2021"
"RC","25-Apr-2024","KEPPEL MERLIMAU COGEN","AGCKMCG : KEPPEL : KMCBLK1","GRF","-","CCGT/COGEN/TRIGEN","N","245.000","-","-","8.500","29.400","-","86.900","FR","01-Oct-2017"
"RC","25-Apr-2024","KEPPEL MERLIMAU COGEN","AGCKMCG : KEPPEL : KMCBLK2","GRF","-","CCGT/COGEN/TRIGEN","N","245.000","-","-","8.500","27.000","-","89.900","FR","01-Oct-2017"
"RC","25-Apr-2024","KEPPEL MERLIMAU COGEN","AGCKMCG : KEPPEL : KMCBLK3","GRF","-","CCGT/COGEN/TRIGEN","N","410.000","-","-","15.000","49.760","-","144.010","FR","01-Oct-2017"
"RC","25-Apr-2024","KEPPEL MERLIMAU COGEN","AGCKMCG : KEPPEL : KMCBLK4","GRF","-","CCGT/COGEN/TRIGEN","N","420.000","-","-","15.000","55.500","-","157.200","FR","31-Aug-2023"
"RC","25-Apr-2024","LYS GENCO BETA PTE LTD","IGS : SELETAR : PV RR1","GSF","-","IGS","Y","1.860","0.000","-","-","-","-","-","NFR","15-Aug-2017"
"RC","25-Apr-2024","NATIONAL ENVIRONMENT AGENCY","ENV : TUAS : GENR1","GRF","-","ST","N","47.800","-","-","-","-","-","-","NFR","29-Jul-2003"
"RC","25-Apr-2024","NATIONAL ENVIRONMENT AGENCY","ENV : TUASSTH : GENR1","GRF","-","ST","N","132.000","-","-","-","-","-","-","NFR","29-Jul-2003"
"RC","25-Apr-2024","PACIFICLIGHT POWER PTE LTD","AGCPACL : PACLIGHT : PACLBLK1","GRF","-","CCGT/COGEN/TRIGEN","N","415.000","-","-","13.000","39.220","-","130.113","FR","11-Apr-2024"
"RC","25-Apr-2024","PACIFICLIGHT POWER PTE LTD","AGCPACL : PACLIGHT : PACLBLK2","GRF","-","CCGT/COGEN/TRIGEN","N","415.000","-","-","13.000","37.690","-","127.291","FR","24-Oct-2023"
"RC","25-Apr-2024","PSA CORPORATION LIMITED","AGCESS : ESS : ESSP U1","GRF","-","BATTERY","Y","2.200","-","-","1.050","-","-","-","NFR","01-Mar-2023"
"RC","25-Apr-2024","PUBLIC UTILITIES BOARD","IGS : TENG_RES : PV PUB1","GSF","-","IGS","N","0.803","0.000","-","-","-","-","-","NFR","09-Nov-2017"
"RC","25-Apr-2024","SEMBCORP COGEN","AGCESS : SAKRA : SBSA U1","GRF","-","BATTERY","N","100.000","-","-","100.000","100.000","-","100.000","FR","01-Dec-2022"
"RC","25-Apr-2024","SEMBCORP COGEN","AGCESS : BANYAN : SBBA U1","GRF","-","BATTERY","N","100.000","-","-","100.000","100.000","-","100.000","FR","01-Dec-2022"
"RC","25-Apr-2024","SEMBCORP COGEN","AGCSKCG : SAKRA : SKRA G1","GRF","-","CCGT/COGEN/TRIGEN","N","392.500","-","-","10.000","40.000","-","100.000","FR","01-Oct-2017"
"RC","25-Apr-2024","SEMBCORP COGEN","AGCSKCG : SAKRA : SKRA G2","GRF","-","CCGT/COGEN/TRIGEN","N","392.500","-","-","10.000","42.000","-","100.000","FR","01-Oct-2017"
"RC","25-Apr-2024","SEMBCORP COGEN","AGCSMBG : BANYAN : SEMBCCP3","GRF","-","CCGT/COGEN/TRIGEN","N","403.800","-","-","15.000","50.100","-","150.000","FR","01-Oct-2017"
"RC","25-Apr-2024","SEMBCORP FLOATING SOLAR SG","IGS : 500JAI : PV TGH","GSF","-","IGS","N","40.000","0.000","-","-","-","-","-","NFR","01-Mar-2022"
"RC","25-Apr-2024","SEMBCORP SOLAR SINGAPORE","IGS : 5BUROHL : PV SEJF1","GSF","-","IGS","Y","0.660","0.000","-","-","-","-","-","NFR","11-Jan-2019"
"RC","25-Apr-2024","SEMBCORP SOLAR SINGAPORE","IGS : 5CHASL : PV CLT3","GSF","-","IGS","Y","0.720","0.000","-","-","-","-","-","NFR","16-Aug-2019"
"RC","25-Apr-2024","SEMBCORP SOLAR SINGAPORE","IGS : JLN.IBR : PV APB1","GSF","-","IGS","Y","1.560","0.000","-","-","-","-","-","NFR","25-Aug-2017"
"RC","25-Apr-2024","SEMBCORP SOLAR SINGAPORE","IGS : 83JKC : PV CPRN2","GSF","-","IGS","Y","0.840","0.000","-","-","-","-","-","NFR","25-Jul-2019"
"RC","25-Apr-2024","SEMBCORP SOLAR SINGAPORE","IGS : 8BULIMAV : PV SCC1","GSF","-","IGS","Y","3.040","0.000","-","-","-","-","-","NFR","20-Sep-2022"
"RC","25-Apr-2024","SEMBCORP SOLAR SINGAPORE","IGS : 90INTRD : PV CPRN1","GSF","-","IGS","Y","0.600","0.000","-","-","-","-","-","NFR","17-Jul-2019"
"RC","25-Apr-2024","SEMBCORP SOLAR SINGAPORE","IGS : 9APR : PV CEC1","GSF","-","IGS","Y","5.280","0.000","-","-","-","-","-","NFR","15-Nov-2019"
"RC","25-Apr-2024","SEMBCORP SOLAR SINGAPORE","IGS : 9CHGSTH : PV ACD5","GSF","-","IGS","Y","0.660","0.000","-","-","-","-","-","NFR","06-Mar-2020"
